Estado Inicial,Nos Gerados de H1,Nos Gerados de H2,G de H1,G de H2,Tempo de H1,Tempo de H2
"6,7,1,5,8,4,0,2,3",42.971,4.072,26,26,334.0052719999803,29.869126999983564
"0,5,3,6,1,7,2,8,4",54.707,3.800,26,26,477.27263400005177,35.75830599991605
"6,0,4,8,5,1,7,2,3",31.520,3.393,25,25,221.4619160000002,22.451914999983273
"6,5,1,8,0,4,3,2,7",29.281,3.219,24,24,212.55257199995685,21.12307700002566
"6,4,2,5,1,7,0,3,8",23.769,3.123,24,24,161.67848800006323,18.917397000011988
"4,1,6,3,7,5,0,2,8",21.107,3.096,24,24,139.52147899998818,19.31436599988956
"4,8,6,7,2,5,0,1,3",46.823,3.082,26,26,337.549794999999,20.867621000041254
"8,1,3,6,0,4,2,5,7",51.914,3.015,26,26,410.1633660000516,18.59066200000234
"0,5,1,7,4,8,6,3,2",22.922,2.812,24,24,145.5145499999635,17.325126999989152
"6,5,2,3,0,4,1,7,8",14.594,2.812,22,22,100.26033399999142,18.462201999966055
"3,1,5,0,4,2,8,7,6",20.238,2.753,23,23,134.43645399995148,17.1911839999957
"0,7,1,8,6,5,3,4,2",22.996,2.689,24,24,165.7218639999628,18.40790999995079
"6,1,7,3,8,5,4,0,2",20.307,2.670,23,23,132.8505179999629,16.960465000011027
"8,6,5,2,0,1,4,3,7",29.426,2.306,24,24,186.0087600001134,13.912575000082143
"6,8,4,3,2,1,7,0,5",18.896,2.131,23,23,122.18064200005028,14.68236600002274
"0,4,1,5,3,2,7,8,6",12.634,1.967,22,22,75.07649999996647,12.510796000016853
"5,0,2,6,7,8,4,1,3",20.917,1.894,23,23,132.02101699996274,12.765475999913178
"0,3,5,6,8,2,4,1,7",12.670,1.886,22,22,75.6472889999859,12.322311999974772
"5,0,3,7,1,4,8,6,2",19.605,1.782,23,23,141.3458320000209,12.09958599996753
"3,4,5,8,2,6,1,0,7",19.822,1.644,23,23,130.59458199993242,10.603067999938503
"4,8,7,5,0,3,2,1,6",48.707,1.607,26,26,353.52336600003764,10.7566410000436
"3,7,2,5,4,0,6,1,8",9.923,1.596,21,21,62.54067200003192,11.165488999919035
"1,2,0,4,3,7,8,6,5",10.185,1.579,22,22,59.72596099996008,10.525609000003897
"5,1,7,2,0,6,3,4,8",11.486,1.462,22,22,72.63048599998001,8.332415000069886
"7,4,0,5,6,1,8,3,2",23.563,1.455,24,24,151.76942200004123,8.644387000007555
"6,1,4,0,2,5,8,3,7",7.959,1.437,21,21,48.946728000068106,10.452864999999292
"4,5,3,6,2,1,8,7,0",10.463,1.407,22,22,67.81749499996658,9.771457999944687
"1,2,7,5,4,8,6,0,3",9.284,1.380,21,21,54.635724999941885,9.236559000099078
"2,0,1,6,4,5,3,7,8",10.093,1.368,21,21,67.99290000007022,7.165134999901056
"3,2,6,5,8,0,7,4,1",19.267,1.363,23,23,116.94205399998464,7.998064999934286
"3,2,1,0,8,5,7,4,6",8.638,1.362,21,21,48.5126450000098,7.629054000019096
"6,5,1,3,2,4,7,0,8",9.043,1.361,21,21,60.879990999936126,8.43166299990844
"3,0,7,8,5,4,6,2,1",19.757,1.352,23,23,135.5342970000347,8.733921999926679
"0,3,2,4,5,1,7,6,8",5.776,1.344,20,20,35.21347300009802,7.72647200000938
"8,1,5,3,0,4,2,6,7",11.299,1.317,22,22,66.28760700009298,10.431499000056647
"3,6,7,8,1,2,0,4,5",12.177,1.305,22,22,72.13254699995741,7.304154999903403
"8,2,5,4,3,7,0,1,6",10.797,1.217,22,22,62.23480199999176,6.77613199991174
"6,7,1,0,5,2,3,8,4",8.812,1.104,21,21,53.88287400000263,8.749358000000939
"3,8,4,1,5,7,6,0,2",8.770,1.097,21,21,50.0302490000613,6.425521999946795
"8,1,2,7,4,0,3,5,6",9.055,1.074,21,21,55.313666999922134,7.560197000042535
"7,5,8,3,4,6,2,1,0",23.192,1.049,24,24,151.36017100000754,5.304148000082932
"1,8,2,4,3,0,5,7,6",7.946,1.032,21,21,45.78333000000566,5.66353599994909
"8,1,2,6,3,0,4,5,7",9.073,1.005,21,21,53.030408000107855,5.9381749999010935
"4,7,0,6,1,3,5,2,8",12.158,996,22,22,70.20808799995575,6.315829000086524
"4,1,3,6,8,7,5,0,2",6.407,977,21,21,34.800514000002295,5.830956000019796
"7,3,2,4,6,0,1,5,8",8.601,963,21,21,52.25554700009525,5.9293349999934435
"4,5,2,1,3,7,6,0,8",4.235,963,19,19,23.663031000061892,5.8434419999830425
"3,6,2,8,0,5,7,4,1",5.634,951,20,20,33.1559319999069,6.859762000036426
"3,0,1,4,8,5,7,2,6",7.348,919,21,21,40.554940999951214,5.417569000041112
"8,6,2,1,7,5,3,0,4",8.833,890,21,21,50.54797700000927,6.003743999986909
"2,5,4,8,7,1,0,6,3",10.988,888,22,22,69.89117600000463,5.661575999925844
"5,1,2,7,6,8,4,3,0",5.169,879,20,20,27.83253200002946,5.9761889999499545
"3,7,6,1,8,2,4,0,5",7.779,875,21,21,43.01852699997835,4.860450999927707
"6,0,2,8,4,1,7,5,3",7.245,856,21,21,42.208590999944136,4.205506999976933
"7,1,5,2,6,8,0,4,3",10.763,808,22,22,66.44195599993691,5.552644999930635
"1,7,5,4,6,2,0,3,8",5.793,804,20,20,32.850534999975935,4.991742999991402
"0,3,1,2,6,5,4,8,7",5.381,781,20,20,28.12034800008405,4.465451000025496
"6,2,1,0,8,4,3,7,5",2.745,780,19,19,14.073192000039853,3.663453000015579
"6,3,8,1,4,0,7,5,2",7.619,776,21,21,42.36305399995763,4.959858000045642
"8,1,2,6,0,4,5,3,7",6.730,776,20,20,37.617691999999806,4.696182999992743
"6,1,5,7,3,2,4,0,8",3.652,774,19,19,19.789463000022806,4.942387000075541
"0,6,1,7,8,2,3,5,4",5.086,773,20,20,30.260845000040717,9.813301999936812
"8,5,0,2,1,6,7,3,4",11.496,770,22,22,69.60359900002368,4.1542860000627115
"4,0,2,7,8,5,3,6,1",9.121,762,21,21,52.11340599996038,5.437314999988303
"3,5,2,1,0,8,6,4,7",2.621,760,18,18,14.028534999932162,4.366467999992892
"1,2,8,4,0,3,6,7,5",2.685,754,18,18,14.557900999905542,4.276500000036322
"5,0,1,2,8,4,3,7,6",7.197,743,21,21,40.241748000029474,4.6249079999979585
"2,8,1,4,5,0,6,3,7",3.692,736,19,19,21.215410999953747,3.379588999901898
"4,0,1,6,5,2,7,8,3",3.578,732,19,19,20.531695000012405,3.5588780000107363
"5,3,1,0,4,8,6,7,2",3.928,730,19,19,21.157553000026383,3.2803000001003966
"1,4,2,3,8,5,7,6,0",2.452,730,18,18,12.559133999980986,3.538427000050433
